Date,Open,High,Low,Close,Volume
21-04-20,1036.1000000,1037.8900000,991.4900000,1012.1500000,1432414478
22-04-20,1011.3800000,1071.8000000,1006.9600000,1066.0100000,1294002560
23-04-20,1079.1500000,1110.4000000,1071.3400000,1099.6700000,1111893864
24-04-20,1089.3300000,1103.7700000,1074.0600000,1081.3200000,877363378
27-04-20,1086.7000000,1099.3800000,1081.4900000,1083.6800000,721987552
28-04-20,1085.8600000,1125.8800000,1081.0900000,1109.6000000,1242791281
29-04-20,1117.7200000,1147.9700000,1113.8900000,1144.6400000,1168132903
30-04-20,1158.2600000,1169.8800000,1121.7800000,1125.0300000,1401712818
04-05-20,1111.2800000,1111.2800000,1080.6300000,1099.4200000,816602438
05-05-20,1117.0000000,1135.4000000,1115.9900000,1133.1600000,694797461
06-05-20,1135.7400000,1139.5100000,1106.0600000,1111.4300000,908293610
07-05-20,1112.6500000,1138.2200000,1111.7300000,1126.4800000,956984281
08-05-20,1125.6600000,1140.0100000,1116.2500000,1136.3400000,724656148
12-05-20,1130.0300000,1143.6500000,1123.1600000,1137.2800000,957174312
13-05-20,1124.2900000,1132.7500000,1110.3700000,1110.3700000,886904313
14-05-20,1104.5700000,1113.9400000,1086.3600000,1102.9800000,1019243006
15-05-20,1121.4700000,1134.3400000,1107.4900000,1107.4900000,952464790
18-05-20,1122.7100000,1167.9500000,1122.7100000,1167.8800000,1244593672
19-05-20,1173.3700000,1183.7700000,1168.0400000,1177.2400000,1253273954
